subject_id	subject_label	subject_class	predicate_id	object_id	object_label	object_json_path	transform	mapping_justification	comment
schema:name	name	schema:Dataset	skos:exactMatch	sc:name	name	$.name	text	semapv:ManualMappingCuration	Croissant serializes schema.org terms against https://schema.org/.
schema:description	description	schema:Dataset	skos:exactMatch	sc:description	description	$.description	text	semapv:ManualMappingCuration	Falls back to the name when absent; Croissant requires a description.
schema:url	url	schema:Dataset	skos:exactMatch	sc:url	url	$.url	iri	semapv:ManualMappingCuration	Falls back to the DOI URL taken from schema:identifier.
schema:identifier	identifier	schema:Dataset	skos:exactMatch	sc:identifier	identifier	$.identifier	identifier	semapv:ManualMappingCuration	A DOI is preferred; also supplies the url fallback.
schema:license	license	schema:Dataset	skos:exactMatch	sc:license	license	$.license	license	semapv:ManualMappingCuration	The OGC nil URI is emitted when CDIF recorded the licence as knowably absent.
schema:datePublished	datePublished	schema:Dataset	skos:exactMatch	sc:datePublished	datePublished	$.datePublished	date	semapv:ManualMappingCuration	
schema:dateModified	dateModified	schema:Dataset	skos:exactMatch	sc:dateModified	dateModified	$.dateModified	date	semapv:ManualMappingCuration	
schema:creator	creator	schema:Dataset	skos:exactMatch	sc:creator	creator	$.creator	agent	semapv:ManualMappingCuration	CDIF wraps creators in @list to keep their order; Croissant has no ordered form, so the list is unwrapped and the order becomes incidental.
schema:contributor	contributor	schema:Dataset	skos:closeMatch	sc:creator	creator	$.creator	agent	semapv:ManualMappingCuration	Croissant has no contributor; a contributor joins the creators, and its role is lost.
schema:publisher	publisher	schema:Dataset	skos:exactMatch	sc:publisher	publisher	$.publisher	agent	semapv:ManualMappingCuration	
schema:provider	provider	schema:Dataset	skos:closeMatch	sc:publisher	publisher	$.publisher	agent	semapv:ManualMappingCuration	Used only when no publisher is given; Croissant has no provider.
schema:keywords	keywords	schema:Dataset	skos:exactMatch	sc:keywords	keywords	$.keywords	keywords	semapv:ManualMappingCuration	A CDIF keyword may be a DefinedTerm; Croissant takes plain strings, so the term's name is used and its identifier lost.
schema:version	version	schema:Dataset	skos:exactMatch	sc:version	version	$.version	versiontext	semapv:ManualMappingCuration	Croissant requires a version; "not assigned" is emitted when CDIF has none.
schema:inLanguage	inLanguage	schema:Dataset	skos:exactMatch	sc:inLanguage	inLanguage	$.inLanguage	text	semapv:ManualMappingCuration	
schema:sameAs	sameAs	schema:Dataset	skos:exactMatch	sc:sameAs	sameAs	$.sameAs	sameas	semapv:ManualMappingCuration	
schema:funding	funding	schema:Dataset	skos:exactMatch	sc:funding	funding	$.funding	funding	semapv:ManualMappingCuration	A CDIF MonetaryGrant; Croissant keeps the grant node.
