subject_id	subject_label	subject_class	predicate_id	object_id	object_label	object_json_path	transform	mapping_justification	comment
sc:name	name	sc:Dataset	skos:exactMatch	schema:name	name	$.schema:name	text	semapv:ManualMappingCuration	Required by CDIF core.
sc:description	description	sc:Dataset	skos:exactMatch	schema:description	description	$.schema:description	text	semapv:ManualMappingCuration	
sc:url	url	sc:Dataset	skos:exactMatch	schema:url	url	$.schema:url	iri	semapv:ManualMappingCuration	
sc:identifier	identifier	sc:Dataset	skos:exactMatch	schema:identifier	identifier	$.schema:identifier	identifier	semapv:ManualMappingCuration	A DOI is preferred when several are given; the rest go to schema:sameAs.
sc:license	license	sc:Dataset	skos:exactMatch	schema:license	license	$.schema:license	license	semapv:ManualMappingCuration	
sc:datePublished	datePublished	sc:Dataset	skos:exactMatch	schema:datePublished	datePublished	$.schema:datePublished	date	semapv:ManualMappingCuration	
sc:dateModified	dateModified	sc:Dataset	skos:exactMatch	schema:dateModified	dateModified	$.schema:dateModified	date	semapv:ManualMappingCuration	"Required by CDIF core; falls back to datePublished, then to conversion time."
sc:dateCreated	dateCreated	sc:Dataset	skos:closeMatch				passthrough	semapv:ManualMappingCuration	Not a CDIF target; preserved as an extension.
sc:creator	creator	sc:Dataset	skos:exactMatch	schema:creator	creator	$.schema:creator	agent	semapv:ManualMappingCuration	"Order is meaningful, so CDIF wraps creators in @list."
sc:publisher	publisher	sc:Dataset	skos:exactMatch	schema:publisher	publisher	$.schema:publisher	agent	semapv:ManualMappingCuration	
sc:keywords	keywords	sc:Dataset	skos:exactMatch	schema:keywords	keywords	$.schema:keywords	list	semapv:ManualMappingCuration	
sc:version	version	sc:Dataset	skos:exactMatch	schema:version	version	$.schema:version	text	semapv:ManualMappingCuration	
sc:inLanguage	inLanguage	sc:Dataset	skos:exactMatch	schema:inLanguage	inLanguage	$.schema:inLanguage	langcode	semapv:ManualMappingCuration	
sc:funding	funding	sc:Dataset	skos:exactMatch	schema:funding	funding	$.schema:funding	funding	semapv:ManualMappingCuration	Croissant gives a grant or funder node; CDIF wants a MonetaryGrant.
